dataset,question_id,domain,title,n_votes,consensus_primary_category,primary_agreement,consensus_geometry_bucket,geometry_agreement,consensus_open_endedness,open_endedness_agreement,fits_taxonomy_votes,query
hivemind_eval_100,H001_TIME_METAPHOR,,Figure 1 / source representative table,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Write a metaphor involving time.
hivemind_eval_100,H002_INTERNET_SOCIETY,,Representative semantic-similarity table,5,Analytical and Interpretive Questions,3,bounded_explanation,4,medium,4,5,Write a paragraph about how the internet shaped society.
hivemind_eval_100,H003_NISSAN_R390,,Representative semantic-similarity table,5,Information-Seeking about Concept Explanations,3,bounded_explanation,3,low,4,5,Create a short summary about the Nissan R390.
hivemind_eval_100,H004_GLOBAL_WARMING,,Representative semantic-similarity table,5,Creative Content Generation,3,constrained_paraphrase_or_format,5,low,4,5,Write a 30-word essay on global warming.
hivemind_eval_100,H005_HAN_ECONOMY,,Representative semantic-similarity table,5,Information-Seeking about Concept Explanations,3,bounded_explanation,4,medium,4,5,Write me a 1-paragraph essay about the development of the economy during the Han Dynasty.
hivemind_eval_100,H006_WEDDING_VOW,,Representative semantic-similarity table,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Create the first verse of a wedding vow.
hivemind_eval_100,H007_MEANING_OF_LIFE,,Figure/example prompt,5,Philosophical Questions,5,open_conceptual_or_interpretive,3,high,3,5,Name one meaning of life.
hivemind_eval_100,H008_EV_JOKE,,Figure/example prompt,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Generate a joke about electric vehicles.
hivemind_eval_100,H009_PEANUT_PUN,,Figure/example prompt,5,Creative Content Generation,5,open_creative_generation,5,high,3,5,Write a pun about peanut.
hivemind_eval_100,H010_US_CHINA_ANALOGY,,Infinity-Chat evaluation prompt,5,Analytical and Interpretive Questions,3,open_conceptual_or_interpretive,5,high,5,5,Make an analogy of the relationship between US and China.
hivemind_eval_100,H011_ROW_000,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,2,5,Write a short story about a colorful toad goes on an adventure in 50 words.
hivemind_eval_100,H012_ROW_003,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,constrained_paraphrase_or_format,5,medium,3,5,Write me a 200-word cover letter expressing my interest in working at Dollarton Liquor Store.
hivemind_eval_100,H013_ROW_005,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,3,5,Write me a paragraph about the time Brandon got a hole in one in frisbee golf. Include somewhat imaginative details.
hivemind_eval_100,H014_ROW_006,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Write me a song about a guy named Jacob working at a call center making jokes.
hivemind_eval_100,H015_ROW_007,,Infinity-Chat evaluation prompt,5,Creative Content Generation,3,open_creative_generation,2,high,4,5,"Write in detail the plot of a typical blockbuster action movie, but with real life logic applied."
hivemind_eval_100,H016_ROW_008,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,3,medium,3,5,Write a short story about a female teacher who has a big accident while knitting in class with a hilarious ending.
hivemind_eval_100,H017_ROW_009,,Infinity-Chat evaluation prompt,5,Speculative and Hypothetical Scenarios,3,open_conceptual_or_interpretive,4,high,3,5,"If Game of Thrones Season 8 had a scene where Gendry and Arya had a snowball fight, how would it fit into the show? And how would it benefit their character arcs?"
hivemind_eval_100,H018_ROW_010,,Infinity-Chat evaluation prompt,5,Creative Content Generation,5,open_creative_generation,5,high,5,5,Please write a science fiction story about me being the last man in the world while everyone else is a woman.
