question_id,source_index,query,conditioned_votes,unconditioned_votes,cohorts_agree,conditioned_winner_bucket,unconditioned_winner_bucket,conditioned_winner_text,unconditioned_winner_text
H001_TIME_METAPHOR,65,Write a metaphor involving time.,45,9,False,conditioned_rare,conditioned_consensus,A load-bearing wall that thickens as more weight is added.,Time is a queue with no visible end and no option to leave.
H007_MEANING_OF_LIFE,48,Name one meaning of life.,45,9,True,conditioned_rare,conditioned_rare,"To cultivate fairness in every interaction, even when it costs you advantage.","To cultivate fairness in every interaction, even when it costs you advantage."
H002_INTERNET_SOCIETY,4,Write a paragraph about how the internet shaped society.,45,9,True,unconditioned_rare,unconditioned_rare,"Accelerated information dissemination – The internet drastically reduced the time and cost of sharing knowledge, enabling near-instant global access to news, research, and cultural content, which democratized learning but also spread misinf","Accelerated information dissemination – The internet drastically reduced the time and cost of sharing knowledge, enabling near-instant global access to news, research, and cultural content, which democratized learning but also spread misinf"
H029_ROW_022,22,Write a short note on the problem of overpopulation.,45,9,True,conditioned_rare,conditioned_rare,Global population is projected to peak around 10–11 billion mid-century and then stabilize or decline. The problem has a ceiling. The ceiling is not the only problem.,Global population is projected to peak around 10–11 billion mid-century and then stabilize or decline. The problem has a ceiling. The ceiling is not the only problem.
H010_US_CHINA_ANALOGY,53,Make an analogy of the relationship between US and China.,45,9,False,conditioned_consensus,conditioned_rare,Rival contractors who subcontracted to each other so long they can no longer read the blueprints without the other's annotations.,"Two load-bearing walls in the same structure — remove either one and the building fails, but they're also pushing against each other."
H046_ROW_040,40,Can you give an example of a life goal related to self-image?,45,9,True,conditioned_rare,conditioned_rare,Shifting self-perception from a victim of circumstance to an agent of change.,Shifting self-perception from a victim of circumstance to an agent of change.
H030_ROW_023,23,Explain what does sovereignty mean as if you're talking to a teenager.,45,9,False,conditioned_rare,unconditioned_rare,Sovereignty means having the final say. No one above you gets to overrule it.,Sovereignty means having the ultimate power to make your own rules and decisions without anyone else telling you what to do.
H064_ROW_060,60,Give me a tip for managing a team of coworkers.,45,9,True,conditioned_consensus,conditioned_consensus,Document decisions and the reasoning behind them. Memory is unreliable and people rewrite history.,Document decisions and the reasoning behind them. Memory is unreliable and people rewrite history.
H008_EV_JOKE,1,Generate a joke about electric vehicles.,45,9,False,conditioned_consensus,unconditioned_consensus,My EV has range anxiety. So do I. We're perfect for each other.,Why did the EV cross the road? To get to the other charging station — the first one was occupied.
H009_PEANUT_PUN,97,Write a pun about peanut.,45,9,True,conditioned_consensus,conditioned_consensus,Peanut gallery has spoken.,Peanut gallery has spoken.
H015_ROW_007,7,"Write in detail the plot of a typical blockbuster action movie, but with real life logic applied.",45,9,True,conditioned_rare,conditioned_rare,The villain's complex global conspiracy is leaked three weeks before execution by a disgruntled junior IT contractor on a public forum.,The villain's complex global conspiracy is leaked three weeks before execution by a disgruntled junior IT contractor on a public forum.
H006_WEDDING_VOW,2,Create the first verse of a wedding vow.,45,9,False,conditioned_rare,unconditioned_rare,I promise to witness the specific architecture of your life without trying to redesign it.,Let this ring mark the spot where my wandering ends and my belonging begins.
